"","liveness","danceability","energy","key","loudness","mode","ArtistName","speechiness","acousticness","instrumentalness","valence","tempo","duration_ms","DateIndex","time_signature","MaxPosition","Track.Name","minPosition","lCountOnCharts","TrackPopularity","CountOnCharts","lSumChartStreams","ldurationms"
"475",0.18,0.677,0.709,1,-5.519,1,"CHVRCHES",0.032,0.00161,0.0146,0.117,126.021,265934,134,4,179,"Keep You On My Side",179,0,5,1,12.3607574683919,12.4910034366762
"476",0.178,0.693,0.789,5,-5.161,0,"Thomas Rhett",0.0315,0.0768,1.19e-06,0.789,130.025,190733,148,4,189,"Crash And Burn",170,1.94591014905531,62,7,14.2625423432477,12.1586298232878
"478",0.0733,0.684,0.867,10,-5.26,0,"Selena Gomez",0.053,0.0207,0.00355,0.237,109.972,221853,148,4,197,"Survivors",185,1.09861228866811,21,3,13.3752754177121,12.3097702793661
"479",0.181,0.589,0.621,5,-6.902,0,"BeyoncÈ",0.0468,0.00969,0.00104,0.398,140.03,323480,270,4,200,"Drunk in Love",188,1.94591014905531,76,7,14.1196846365898,12.6868925672098
"480",0.121,0.382,0.535,7,-8.004,1,"Polina Gagarina",0.0305,0.0403,0,0.221,148.143,185962,24,4,193,"A Million Voices - Eurovision 2015 - Russia",122,1.09861228866811,0,3,13.3793903468965,12.1332976307478
"484",0.311,0.482,0.926,7,-4.789,1,"Muse",0.0549,0.00952,0,0.373,130.007,231973,38,4,191,"Mercy",139,1.6094379124341,63,5,13.8748920544794,12.3543762645655
"486",0.0943,0.388,0.66,11,-7.372,1,"Vance Joy",0.0308,0.312,0.000307,0.386,143.554,230507,276,4,193,"Georgia",193,0,66,1,12.3667746754651,12.3480365097213
"487",0.183,0.577,0.749,5,-7.215,0,"Coldplay",0.0279,0.599,0.0112,0.271,130.969,307880,270,4,197,"Clocks",197,0,73,1,12.3702344747289,12.6374653756483
"489",0.139,0.603,0.731,9,-5.281,1,"Ellie Goulding",0.0378,0.0692,0,0.468,114.031,255231,176,4,186,"Holding On For Life",186,0,49,1,12.3719005941803,12.4499242964297
"490",0.443,0.583,0.658,8,-5.339,1,"Gwen Stefani",0.0938,0.0198,3.85e-06,0.23,96.11,227507,251,4,192,"Used To Love You",192,0,8,1,12.3720996644803,12.3349362861305
"492",0.0838,0.653,0.822,0,-4.857,1,"Capital Cities",0.033,0.00021,0.0047,0.749,117.949,192790,62,5,191,"Safe And Sound",140,4.20469261939097,71,67,16.4131417671596,12.1693567925935
"494",0.664,0.695,0.797,7,-5.199,1,"Diplo",0.0548,0.00259,0.112,0.279,124.972,237051,110,4,155,"Be Right There",155,0,19,1,12.373940245354,12.3760305868407
"496",0.0709,0.707,0.729,7,-5.934,1,"Selena Gomez",0.117,0.00323,0.000443,0.699,106.007,213427,141,4,181,"Me & The Rhythm",176,0.693147180559945,25,2,13.0264668257176,12.271050132808
"497",0.0559,0.689,0.737,10,-5.372,0,"Maroon 5",0.079,0.00348,0,0.744,121.998,194773,169,4,198,"Feelings",159,2.07944154167984,0,8,14.393296829649,12.1795900568881
"500",0.119,0.494,0.721,2,-4.855,1,"David Guetta",0.0416,0.107,0,0.354,128.1,207200,9,4,198,"What I Did For Love (feat. Emeli Sand√©)",126,3.49650756146648,60,33,15.7554987783906,12.2414397893675
"502",0.105,0.71,0.754,2,-3.427,1,"Avicii",0.0552,0.0774,6.44e-06,0.327,104.019,171960,145,4,186,"Pure Grinding",156,1.38629436111989,59,4,13.7412793474478,12.0550171706102
"504",0.221,0.479,0.904,6,-4.546,0,"Bring Me The Horizon",0.0822,0.00183,1.5e-05,0.208,147.057,274120,121,4,173,"Doomed",173,0,45,1,12.3785753211644,12.5213212456998
"508",0.274,0.812,0.743,5,-5.053,0,"J Balvin",0.0876,0.147,0,0.734,88.032,243227,122,4,200,"6 AM",136,4.72738781871234,70,113,16.9535333569398,12.4017504426488
"509",0.124,0.372,0.802,6,-6.89,1,"Troye Sivan",0.0795,0.146,0.000189,0.321,173.788,237464,155,4,180,"TALK ME DOWN",180,0,1,1,12.3805384263585,12.3777713120202
"515",0.127,0.454,0.731,5,-7.035,1,"Chris Stapleton",0.0302,0.0681,0.00817,0.779,176.662,222413,175,4,163,"Traveller",163,0,64,1,12.3874562625962,12.3122912928877
"518",0.188,0.406,0.42,5,-8.343,0,"Lana Del Rey",0.0276,0.851,0.015,0.106,80.924,280653,128,3,172,"God Knows I Tried",172,0,54,1,12.3879732804156,12.5448743097841
"519",0.0572,0.896,0.713,7,-6.347,1,"Pitbull",0.226,0.102,0,0.891,95.014,324173,76,4,199,"El Taxi - Original Version",136,3.40119738166216,57,30,15.6586891136677,12.6890326028908
"522",0.0538,0.897,0.729,7,-5.837,1,"Osmani Garcia ""La Voz""",0.215,0.104,0,0.86,95.002,324507,61,4,172,"El Taxi",132,2.30258509299405,5,10,14.6231531536515,12.6900623865423
"523",0.106,0.738,0.483,6,-8.915,0,"Coldplay",0.0403,0.0262,0.616,0.358,93.458,285014,270,4,199,"Magic",138,3.93182563272433,74,51,16.110740669271,12.5602935808513
"524",0.117,0.528,0.723,10,-3.975,0,"BANNERS",0.0328,0.0117,0,0.358,144.026,215960,305,4,195,"Start A Riot",195,0,62,1,12.3924816705657,12.2828484843322
